location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,provider_admin1_code,provider_admin2_code,aggregation_period,rainfall,rainfall_long_term_average,rainfall_anomaly_pct,number_pixels,version,reference_period_start,reference_period_end
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,19.360655,14.573692,124.45611,427,final,2025-09-01,2025-09-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,75.47541,54.362843,135.56529,427,final,2025-09-01,2025-09-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,182.29039,155.46307,116.71869,427,final,2025-09-01,2025-09-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,24.412178,13.288603,160.82243,427,final,2025-09-11,2025-09-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,62.704918,50.322716,122.38177,427,final,2025-09-11,2025-09-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,183.91571,151.16034,120.97547,427,final,2025-09-11,2025-09-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,16.023418,13.700781,112.42,427,final,2025-09-21,2025-09-30
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,59.796253,41.563076,139.158,427,final,2025-09-21,2025-09-30
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,181.6815,149.2712,121.00866,427,final,2025-09-21,2025-09-30
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,62.761124,28.760422,200.71173,427,final,2025-10-01,2025-10-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,103.19672,55.749805,178.10216,427,final,2025-10-01,2025-10-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,231.62296,162.61076,141.17407,427,final,2025-10-01,2025-10-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,19.48712,37.33669,57.839005,427,final,2025-10-11,2025-10-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,98.27167,79.79789,121.78565,427,final,2025-10-11,2025-10-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,237.41922,184.63333,127.83576,427,final,2025-10-11,2025-10-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,98.491806,52.245045,180.78735,427,final,2025-10-21,2025-10-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,180.74005,118.342155,150.58928,427,final,2025-10-21,2025-10-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,328.00702,216.79727,150.14027,427,final,2025-10-21,2025-10-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,27.203747,58.538406,50.68391,427,final,2025-11-01,2025-11-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,145.18268,148.12013,98.081604,427,final,2025-11-01,2025-11-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,323.8548,258.2328,124.929276,427,final,2025-11-01,2025-11-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,26.199062,57.211945,50.14963,427,final,2025-11-11,2025-11-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,151.89462,167.99539,90.69295,427,final,2025-11-11,2025-11-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,312.8712,298.116,104.86784,427,final,2025-11-11,2025-11-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,17.23185,47.440826,42.394165,427,final,2025-11-21,2025-11-30
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,70.63466,163.19118,44.969456,427,final,2025-11-21,2025-11-30
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,311.17096,323.0964,96.365265,427,final,2025-11-21,2025-11-30
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,12.807962,27.59883,54.62761,427,final,2025-12-01,2025-12-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,56.238876,132.2516,44.61797,427,final,2025-12-01,2025-12-10
