location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,5-9,5,9,65043,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,10-14,10,14,62091,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,15-19,15,19,47688,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,20-24,20,24,39092,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,25-29,25,29,34388,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,30-34,30,34,30715,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,35-39,35,39,20499,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,40-44,40,44,19570,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,45-49,45,49,13753,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,50-54,50,54,8758,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,55-59,55,59,8180,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,60-64,60,64,9391,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,65-69,65,69,6572,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,70-74,70,74,5267,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,75-79,75,79,2344,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,80-84,80,84,1904,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,85-89,85,89,905,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,90-94,90,94,420,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,95-99,95,99,174,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,100+,100,None,160,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,0-4,0,4,65529,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,5-9,5,9,66699,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,10-14,10,14,63198,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,15-19,15,19,49416,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,20-24,20,24,32703,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,25-29,25,29,28302,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,30-34,30,34,24738,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,35-39,35,39,19315,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,40-44,40,44,18245,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,45-49,45,49,14780,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,50-54,50,54,10743,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,55-59,55,59,8584,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,60-64,60,64,7574,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,65-69,65,69,6281,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,70-74,70,74,4170,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,75-79,75,79,2272,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,80-84,80,84,1356,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,85-89,85,89,699,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,90-94,90,94,280,2019-01-01,2019-12-31
