pcode,county,year_month,rfq_mean,rfq_min
KE030,Baringo,2023-11,130.82771933333333,87.690346
KE030,Baringo,2023-12,52.614279833333335,48.596222
KE030,Baringo,2024-01,177.868015,79.73092
KE030,Baringo,2024-02,134.72843766666668,51.417732
KE030,Baringo,2024-03,76.09281066666667,34.817
KE030,Baringo,2024-04,163.62196916666667,114.23257
KE030,Baringo,2024-05,164.98206616666667,51.728607
KE030,Baringo,2024-06,62.64529566666667,53.02366
KE030,Baringo,2024-07,130.1570225,82.95592
KE030,Baringo,2024-08,125.7707835,73.61615
KE030,Baringo,2024-09,77.12211533333333,67.50795
KE030,Baringo,2024-10,97.411969,56.013454
KE030,Baringo,2024-11,170.28871116666667,63.083477
KE030,Baringo,2024-12,49.018971,40.089596
KE030,Baringo,2025-01,102.33493733333334,60.66797
KE030,Baringo,2025-02,47.99451,42.07544
KE030,Baringo,2025-03,166.59995833333332,124.97633
KE030,Baringo,2025-04,113.70793783333335,40.202637
KE030,Baringo,2025-05,124.03132000000001,65.75766
KE030,Baringo,2025-06,100.45683333333334,86.57355
KE030,Baringo,2025-07,129.41713333333334,73.65488
KE030,Baringo,2025-08,117.01343416666667,76.055374
KE030,Baringo,2025-09,176.34244833333332,149.23834
KE030,Baringo,2025-10,179.36668566666665,82.787964
KE030,Baringo,2025-11,59.203120000000006,39.13549
KE030,Baringo,2025-12,107.941299,48.64741
KE030,Baringo,2026-01,53.454726,46.206818
KE030,Baringo,2026-02,291.33466100000004,87.277916
KE030,Baringo,2026-03,235.3023783333333,158.76624
KE030,Baringo,2026-04,107.83309933333334,38.996494
KE030,Baringo,2026-05,177.75048,145.35794
KE036,Bomet,2006-01,67.58122666666667,35.567608
KE036,Bomet,2006-02,86.31531183333334,29.573006
KE036,Bomet,2006-03,130.52731416666668,62.48086
KE036,Bomet,2006-04,117.24781833333334,90.86319
KE036,Bomet,2006-05,119.13212333333333,91.23244
KE036,Bomet,2006-06,80.8763925,55.523335
KE036,Bomet,2006-07,75.429195,58.806793
KE036,Bomet,2006-08,77.65791216666666,39.843998
KE036,Bomet,2006-09,85.23981033333332,72.792206
KE036,Bomet,2006-10,73.71115933333333,36.437244
KE036,Bomet,2006-11,184.23854833333334,95.11992
KE036,Bomet,2006-12,209.0927683333333,93.44854
KE036,Bomet,2007-01,153.55791166666666,73.07245
KE036,Bomet,2007-02,163.43271,90.40712
KE036,Bomet,2007-03,89.535026,34.961582
KE036,Bomet,2007-04,78.7676575,25.464836
KE036,Bomet,2007-05,81.71784616666666,52.794422
KE036,Bomet,2007-06,108.03784999999999,70.285255
KE036,Bomet,2007-07,105.39108966666667,48.29435
KE036,Bomet,2007-08,102.12843733333334,71.51999
KE036,Bomet,2007-09,113.75203933333334,70.99736
KE036,Bomet,2007-10,60.5551125,34.04792
KE036,Bomet,2007-11,64.49928983333334,54.482986
KE036,Bomet,2007-12,74.62483566666667,41.67919
KE036,Bomet,2008-01,59.38157583333333,27.908894
KE036,Bomet,2008-02,87.60183283333333,28.891182
KE036,Bomet,2008-03,121.848947,33.670868
KE036,Bomet,2008-04,74.34601783333333,42.418125
KE036,Bomet,2008-05,62.35401366666667,44.169437
KE036,Bomet,2008-06,85.1048275,40.346
KE036,Bomet,2008-07,95.07685166666666,68.40598
KE036,Bomet,2008-08,93.75565683333333,53.192036
KE036,Bomet,2008-09,91.96223416666668,56.5085
KE036,Bomet,2008-10,116.650106,63.5588
KE036,Bomet,2008-11,92.96975116666665,43.149097
KE036,Bomet,2008-12,54.0343435,50.271904
KE036,Bomet,2009-01,80.16765216666666,25.155357
KE036,Bomet,2009-02,57.08701816666667,25.362534
KE036,Bomet,2009-03,58.9082835,37.960266
KE036,Bomet,2009-04,79.1332065,51.57314
KE036,Bomet,2009-05,109.30121216666667,36.136227
KE036,Bomet,2009-06,51.7572985,39.040276
KE036,Bomet,2009-07,63.580626333333335,46.901882
KE036,Bomet,2009-08,88.33598783333332,39.361736
KE036,Bomet,2009-09,118.87451233333333,90.38132
KE036,Bomet,2009-10,80.572035,46.656532
KE036,Bomet,2009-11,72.11720366666667,38.686935
KE036,Bomet,2009-12,162.28869333333333,77.4838
KE036,Bomet,2010-01,123.87052683333333,33.065273
KE036,Bomet,2010-02,215.17783833333337,82.432
KE036,Bomet,2010-03,125.51987833333334,39.2873
KE036,Bomet,2010-04,105.15008166666667,57.58565
KE036,Bomet,2010-05,131.55272416666665,68.19403
KE036,Bomet,2010-06,97.64716066666666,79.13798
KE036,Bomet,2010-07,86.21022,56.39517
KE036,Bomet,2010-08,101.35020716666666,56.519733
KE036,Bomet,2010-09,111.69549416666666,70.615585
KE036,Bomet,2010-10,114.31235333333332,85.58603
KE036,Bomet,2010-11,74.706276,54.482986
KE036,Bomet,2010-12,91.04506666666667,32.26848
KE036,Bomet,2011-01,71.2338715,36.089138
KE036,Bomet,2011-02,79.1676025,28.414955
KE036,Bomet,2011-03,85.5240825,32.32589
KE036,Bomet,2011-04,53.72201866666666,23.17741
KE036,Bomet,2011-05,104.32904883333333,48.451397
KE036,Bomet,2011-06,90.87628516666666,63.178307
KE036,Bomet,2011-07,108.50663833333333,54.853397
KE036,Bomet,2011-08,137.05546333333334,81.82267
KE036,Bomet,2011-09,130.87700833333335,120.79595
KE036,Bomet,2011-10,137.71542333333335,106.72826
KE036,Bomet,2011-11,132.08487449999998,47.768047
KE036,Bomet,2011-12,120.50184899999999,68.83238
KE036,Bomet,2012-01,32.74908666666666,30.527077
KE036,Bomet,2012-02,61.47873033333334,28.047981
KE036,Bomet,2012-03,77.16132766666666,24.159168
KE036,Bomet,2012-04,154.55758333333333,104.67288
KE036,Bomet,2012-05,93.96359833333334,79.03938
KE036,Bomet,2012-06,143.56811366666668,46.39462
KE036,Bomet,2012-07,126.42554083333334,71.110405
KE036,Bomet,2012-08,115.01550583333334,72.236725
KE036,Bomet,2012-09,144.09432583333333,83.58974
KE036,Bomet,2012-10,126.83212333333334,63.73096
KE036,Bomet,2012-11,114.21955150000001,52.825195
KE036,Bomet,2012-12,126.13089066666667,35.10574
KE036,Bomet,2013-01,80.707591,43.6783
KE036,Bomet,2013-02,77.01254366666667,40.244408
KE036,Bomet,2013-03,129.24657616666667,116.566086
KE036,Bomet,2013-04,162.72481833333333,102.26928
KE036,Bomet,2013-05,71.14209583333333,43.544926
KE036,Bomet,2013-06,95.8640965,54.054462
KE036,Bomet,2013-07,86.9269225,62.131245
KE036,Bomet,2013-08,99.8613315,55.450024
KE036,Bomet,2013-09,124.60028,89.82166
KE036,Bomet,2013-10,87.03323116666667,33.968277
KE036,Bomet,2013-11,94.95359666666667,67.36904
KE036,Bomet,2013-12,127.69750333333333,62.7054
KE036,Bomet,2014-01,66.09151366666667,33.08132
KE036,Bomet,2014-02,171.55035333333333,90.660904
KE036,Bomet,2014-03,98.27541016666667,21.241402
KE036,Bomet,2014-04,48.149708,20.397823
KE036,Bomet,2014-05,84.39681933333334,63.46736
KE036,Bomet,2014-06,98.74787266666665,53.229206
KE036,Bomet,2014-07,101.23141566666668,60.06865
KE036,Bomet,2014-08,151.19737083333334,89.59197
KE036,Bomet,2014-09,99.22368166666666,80.77614
KE036,Bomet,2014-10,99.78771766666667,47.98116
KE036,Bomet,2014-11,79.78385116666666,47.550327
KE036,Bomet,2014-12,78.36516966666666,47.492447
KE036,Bomet,2015-01,29.546883833333336,25.035852
KE036,Bomet,2015-02,57.583363,24.708517
KE036,Bomet,2015-03,54.24863666666666,20.079155
KE036,Bomet,2015-04,147.92992833333332,117.02565
KE036,Bomet,2015-05,141.772535,103.55943
KE036,Bomet,2015-06,135.0711895,60.381447
KE036,Bomet,2015-07,77.33340916666667,60.783493
KE036,Bomet,2015-08,65.198156,28.881628
KE036,Bomet,2015-09,98.05432466666667,63.236958
KE036,Bomet,2015-10,113.61842166666668,60.29337
KE036,Bomet,2015-11,125.09630583333335,72.153145
KE036,Bomet,2015-12,158.05359083333335,61.854195
KE036,Bomet,2016-01,130.85039833333335,74.74199
KE036,Bomet,2016-02,62.7542175,43.625973
KE036,Bomet,2016-03,82.55339383333333,32.731773
KE036,Bomet,2016-04,144.511805,125.15683
KE036,Bomet,2016-05,120.0430175,71.872375
KE036,Bomet,2016-06,92.205243,57.942806
KE036,Bomet,2016-07,98.46624283333334,61.475677
KE036,Bomet,2016-08,69.1247715,44.306244
KE036,Bomet,2016-09,107.72906083333334,57.911194
KE036,Bomet,2016-10,94.45751833333334,44.242386
KE036,Bomet,2016-11,107.28966416666667,81.3141
KE036,Bomet,2016-12,37.06652616666667,25.396772
KE036,Bomet,2017-01,46.16365450000001,24.07983
KE036,Bomet,2017-02,97.85170850000002,48.96836
KE036,Bomet,2017-03,70.69603233333333,35.66515
KE036,Bomet,2017-04,85.47927083333333,32.315876
KE036,Bomet,2017-05,99.749325,67.18286
KE036,Bomet,2017-06,98.149199,52.2417
KE036,Bomet,2017-07,166.24194250000002,127.592255
KE036,Bomet,2017-08,106.66302833333333,71.82716
KE036,Bomet,2017-09,123.50644666666666,85.9259
KE036,Bomet,2017-10,124.60932783333334,62.498127
KE036,Bomet,2017-11,99.17816833333332,63.906525
KE036,Bomet,2017-12,76.86293183333333,31.842903
KE036,Bomet,2018-01,64.64029933333335,44.401394
KE036,Bomet,2018-02,68.3187415,34.977993
KE036,Bomet,2018-03,193.10823916666666,108.297195
KE036,Bomet,2018-04,165.11816233333334,121.842384
KE036,Bomet,2018-05,139.74746966666666,114.274124
KE036,Bomet,2018-06,144.41168833333333,120.93848
KE036,Bomet,2018-07,93.63033083333335,67.05378
KE036,Bomet,2018-08,102.36109433333333,39.361496
KE036,Bomet,2018-09,66.78761216666668,50.93754
KE036,Bomet,2018-10,119.76283516666666,101.764885
KE036,Bomet,2018-11,88.05333300000001,47.566635
KE036,Bomet,2018-12,120.53894116666667,52.502487
KE036,Bomet,2019-01,44.152446499999996,27.937857
KE036,Bomet,2019-02,56.91430283333333,28.029638
KE036,Bomet,2019-03,56.596290333333336,21.133541
KE036,Bomet,2019-04,94.16666933333333,33.559036
KE036,Bomet,2019-05,107.43350083333333,76.95006
KE036,Bomet,2019-06,160.228235,73.69863
KE036,Bomet,2019-07,101.58914666666665,76.90972
KE036,Bomet,2019-08,100.90039000000002,68.189445
KE036,Bomet,2019-09,118.300327,62.678482
KE036,Bomet,2019-10,152.7020075,94.46936
KE036,Bomet,2019-11,179.23848166666667,60.94694
KE036,Bomet,2019-12,262.02442833333333,148.33836
KE036,Bomet,2020-01,200.00384700000004,88.725296
KE036,Bomet,2020-02,132.02971833333334,95.42281
KE036,Bomet,2020-03,214.48406333333332,150.68912
KE036,Bomet,2020-04,140.5967685,48.504444
KE036,Bomet,2020-05,97.42950333333333,65.86134
KE036,Bomet,2020-06,116.42276083333333,87.18705
KE036,Bomet,2020-07,108.52192666666667,74.92842
KE036,Bomet,2020-08,99.66424,62.67841
KE036,Bomet,2020-09,124.790634,86.019
KE036,Bomet,2020-10,180.69627,130.80061
KE036,Bomet,2020-11,223.23569333333333,121.51612
KE036,Bomet,2020-12,81.01218716666666,54.63867
KE036,Bomet,2021-01,110.16589,46.243347
KE036,Bomet,2021-02,158.153985,144.35956
KE036,Bomet,2021-03,87.85860466666668,59.181404
KE036,Bomet,2021-04,129.92792416666666,82.192665
KE036,Bomet,2021-05,112.595039,73.75083
KE036,Bomet,2021-06,96.92236233333334,57.531063
KE036,Bomet,2021-07,103.69894700000002,39.938282
KE036,Bomet,2021-08,153.24369266666667,88.00981
KE036,Bomet,2021-09,151.25386749999998,106.404305
KE036,Bomet,2021-10,96.10227833333333,57.98951
KE036,Bomet,2021-11,88.59616866666666,46.545277
KE036,Bomet,2021-12,82.8400355,48.075905
KE036,Bomet,2022-01,162.729055,67.725685
KE036,Bomet,2022-02,326.141985,247.00797
KE036,Bomet,2022-03,68.30969733333335,21.19502
KE036,Bomet,2022-04,94.28920616666666,36.323215
KE036,Bomet,2022-05,138.64564833333333,60.73793
KE036,Bomet,2022-06,96.8095455,80.00428
KE036,Bomet,2022-07,76.22993583333333,65.056496
KE036,Bomet,2022-08,168.79454333333334,128.9884
KE036,Bomet,2022-09,134.783175,110.29176
KE036,Bomet,2022-10,90.730157,31.16568
KE036,Bomet,2022-11,161.77345316666666,88.732704
KE036,Bomet,2022-12,223.70244416666665,102.08842
KE036,Bomet,2023-01,36.130177833333335,27.425909
KE036,Bomet,2023-02,32.02190816666667,20.979021
KE036,Bomet,2023-03,144.94081500000001,69.38239
KE036,Bomet,2023-04,133.35829333333334,95.82698
KE036,Bomet,2023-05,97.04070666666667,66.39409
KE036,Bomet,2023-06,142.66220033333335,59.698772
KE036,Bomet,2023-07,64.88222866666666,50.98985
KE036,Bomet,2023-08,76.0933175,53.377457
KE036,Bomet,2023-09,192.269575,169.30586
KE036,Bomet,2023-10,129.998185,84.95066
KE036,Bomet,2023-11,172.65401666666665,123.97497
KE036,Bomet,2023-12,126.36131166666667,97.836914
KE036,Bomet,2024-01,306.21955333333335,219.49297
KE036,Bomet,2024-02,156.643555,94.58729
KE036,Bomet,2024-03,88.69230116666667,21.316914
KE036,Bomet,2024-04,127.95146833333332,84.3594
KE036,Bomet,2024-05,112.07824683333332,89.15412
KE036,Bomet,2024-06,72.07834466666667,62.987907
KE036,Bomet,2024-07,154.27510833333335,73.54218
KE036,Bomet,2024-08,80.72829116666666,54.204716
KE036,Bomet,2024-09,106.3361685,85.283745
KE036,Bomet,2024-10,98.0680165,63.348495
KE036,Bomet,2024-11,160.35081683333334,78.08583
KE036,Bomet,2024-12,118.383471,62.175346
KE036,Bomet,2025-01,112.40659866666665,37.165394
KE036,Bomet,2025-02,41.96477083333333,28.629759
KE036,Bomet,2025-03,135.32096916666666,70.50926
KE036,Bomet,2025-04,151.9767858333333,91.756165
KE036,Bomet,2025-05,151.782275,118.45169
KE036,Bomet,2025-06,89.40713816666666,61.02332
KE036,Bomet,2025-07,141.17370166666666,83.291725
KE036,Bomet,2025-08,88.40593033333333,50.079952
KE036,Bomet,2025-09,92.16744166666666,80.69699
KE036,Bomet,2025-10,136.35829833333332,67.94856
KE036,Bomet,2025-11,61.0352675,36.67896
KE036,Bomet,2025-12,112.42604216666666,31.273191
KE036,Bomet,2026-01,37.87891033333333,32.14627
KE036,Bomet,2026-02,247.66036333333332,145.50302
KE036,Bomet,2026-03,213.48919166666667,138.44984
KE036,Bomet,2026-04,87.81417183333333,66.216415
KE036,Bomet,2026-05,192.34854,189.06825
KE039,Bungoma,2006-01,63.1528835,33.893673
KE039,Bungoma,2006-02,147.96898766666666,47.814938
KE039,Bungoma,2006-03,130.44906749999998,88.25112
KE039,Bungoma,2006-04,137.00555649999998,122.45967
KE039,Bungoma,2006-05,78.283725,55.909546
KE039,Bungoma,2006-06,91.19604650000001,52.035133
KE039,Bungoma,2006-07,76.26511183333334,51.831078
KE039,Bungoma,2006-08,88.08715216666667,50.1786
KE039,Bungoma,2006-09,159.72867,117.5959
KE039,Bungoma,2006-10,86.96554816666666,18.558674
KE039,Bungoma,2006-11,201.27336583333332,32.743515
KE039,Bungoma,2006-12,171.50565833333334,77.12122
KE039,Bungoma,2007-01,112.08217816666667,53.335976
KE039,Bungoma,2007-02,195.71168266666666,100.83505
KE039,Bungoma,2007-03,78.07744,24.722258
KE039,Bungoma,2007-04,91.13145566666667,17.080471
KE039,Bungoma,2007-05,98.551425,66.12878
KE039,Bungoma,2007-06,100.37082,70.71314
KE039,Bungoma,2007-07,137.14305233333334,107.512054
KE039,Bungoma,2007-08,136.64275033333334,98.09882
KE039,Bungoma,2007-09,188.61981166666666,159.96896
KE039,Bungoma,2007-10,79.97150066666667,43.239796
KE039,Bungoma,2007-11,56.42660016666667,33.634365
KE039,Bungoma,2007-12,82.02003666666667,28.799456
KE039,Bungoma,2008-01,73.42303233333332,37.39478
KE039,Bungoma,2008-02,85.84115483333333,42.255653
KE039,Bungoma,2008-03,86.85817833333334,52.65843
KE039,Bungoma,2008-04,70.90798483333333,26.07476
KE039,Bungoma,2008-05,96.90947249999999,49.270996
KE039,Bungoma,2008-06,85.215484,31.568369
KE039,Bungoma,2008-07,129.7496075,102.88684
KE039,Bungoma,2008-08,161.59443,134.67824
KE039,Bungoma,2008-09,110.43963233333334,79.592964
KE039,Bungoma,2008-10,105.89829683333333,74.42602
KE039,Bungoma,2008-11,102.02118416666667,24.581497
KE039,Bungoma,2008-12,32.00631333333333,29.670052
KE039,Bungoma,2009-01,101.96333,35.458
KE039,Bungoma,2009-02,47.0072575,30.921352
