pcode,county,year_month,ipc_phase,population_in_phase,population_fraction_in_phase
KE007,Garissa,2023-02,2,185406,0.2
KE007,Garissa,2023-02,3,370812,0.4
KE007,Garissa,2023-02,3+,509867,0.55
KE007,Garissa,2023-02,4,139055,0.15
KE007,Garissa,2023-02,5,0,0.0
KE007,Garissa,2023-02,all,927031,1.0
KE007,Garissa,2023-07,1,231750,0.25
KE007,Garissa,2023-07,2,370800,0.4
KE007,Garissa,2023-07,3,231750,0.25
KE007,Garissa,2023-07,3+,324450,0.35
KE007,Garissa,2023-07,4,92700,0.1
KE007,Garissa,2023-07,5,0,0.0
KE007,Garissa,2023-07,all,927000,1.0
KE007,Garissa,2024-02,1,324450,0.35
KE007,Garissa,2024-02,2,417150,0.45
KE007,Garissa,2024-02,3,185400,0.2
KE007,Garissa,2024-02,3+,185400,0.2
KE007,Garissa,2024-02,4,0,0.0
KE007,Garissa,2024-02,5,0,0.0
KE007,Garissa,2024-02,all,927000,1.0
KE007,Garissa,2024-07,1,324450,0.35
KE007,Garissa,2024-07,2,509850,0.55
KE007,Garissa,2024-07,3,92700,0.1
KE007,Garissa,2024-07,3+,92700,0.1
KE007,Garissa,2024-07,4,0,0.0
KE007,Garissa,2024-07,5,0,0.0
KE007,Garissa,2024-07,all,927000,1.0
KE007,Garissa,2025-02,1,509850,0.55
KE007,Garissa,2025-02,2,231750,0.25
KE007,Garissa,2025-02,3,139050,0.15
KE007,Garissa,2025-02,3+,185400,0.2
KE007,Garissa,2025-02,4,46350,0.05
KE007,Garissa,2025-02,5,0,0.0
KE007,Garissa,2025-02,all,927000,1.0
KE007,Garissa,2025-07,1,417150,0.45
KE007,Garissa,2025-07,2,370800,0.4
KE007,Garissa,2025-07,3,139050,0.15
KE007,Garissa,2025-07,3+,139050,0.15
KE007,Garissa,2025-07,4,0,0.0
KE007,Garissa,2025-07,5,0,0.0
KE007,Garissa,2025-07,all,927000,1.0
KE043,Homa Bay,2023-02,1,0,0.0
KE043,Homa Bay,2023-02,2,0,0.0
KE043,Homa Bay,2023-02,3,0,0.0
KE043,Homa Bay,2023-02,3+,0,0.0
KE043,Homa Bay,2023-02,4,0,0.0
KE043,Homa Bay,2023-02,5,0,0.0
KE043,Homa Bay,2023-02,all,1231659,1.0
KE011,Isiolo,2019-07,1,31093,0.2
KE011,Isiolo,2019-07,2,69959,0.45
KE011,Isiolo,2019-07,3,46640,0.3
KE011,Isiolo,2019-07,3+,54413,0.35
KE011,Isiolo,2019-07,4,7773,0.05
KE011,Isiolo,2019-07,5,0,0.0
KE011,Isiolo,2019-07,all,155465,1.0
KE011,Isiolo,2020-02,1,134001,0.5
KE011,Isiolo,2020-02,2,93801,0.35
KE011,Isiolo,2020-02,3,26800,0.1
KE011,Isiolo,2020-02,3+,40200,0.15
KE011,Isiolo,2020-02,4,13400,0.05
KE011,Isiolo,2020-02,5,0,0.0
KE011,Isiolo,2020-02,all,268002,1.0
KE011,Isiolo,2020-08,1,134001,0.5
KE011,Isiolo,2020-08,2,107201,0.4
KE011,Isiolo,2020-08,3,26800,0.1
KE011,Isiolo,2020-08,3+,26800,0.1
KE011,Isiolo,2020-08,4,0,0.0
KE011,Isiolo,2020-08,5,0,0.0
KE011,Isiolo,2020-08,all,268002,1.0
KE011,Isiolo,2021-02,1,80401,0.3
KE011,Isiolo,2021-02,2,147401,0.55
KE011,Isiolo,2021-02,3,26800,0.1
KE011,Isiolo,2021-02,3+,40200,0.15
KE011,Isiolo,2021-02,4,13400,0.05
KE011,Isiolo,2021-02,5,0,0.0
KE011,Isiolo,2021-02,all,268002,1.0
KE011,Isiolo,2021-07,1,67001,0.25
KE011,Isiolo,2021-07,2,93801,0.35
KE011,Isiolo,2021-07,3,80401,0.3
KE011,Isiolo,2021-07,3+,107201,0.4
KE011,Isiolo,2021-07,4,26800,0.1
KE011,Isiolo,2021-07,5,0,0.0
KE011,Isiolo,2021-07,all,268002,1.0
KE011,Isiolo,2022-02,1,67001,0.25
KE011,Isiolo,2022-02,2,120601,0.45
KE011,Isiolo,2022-02,3,67001,0.25
KE011,Isiolo,2022-02,3+,80401,0.3
KE011,Isiolo,2022-02,4,13400,0.05
KE011,Isiolo,2022-02,5,0,0.0
KE011,Isiolo,2022-02,all,268002,1.0
KE011,Isiolo,2022-07,1,53600,0.2
KE011,Isiolo,2022-07,2,80401,0.3
KE011,Isiolo,2022-07,3,93801,0.35
KE011,Isiolo,2022-07,3+,134001,0.5
KE011,Isiolo,2022-07,4,40200,0.15
KE011,Isiolo,2022-07,5,0,0.0
KE011,Isiolo,2022-07,all,268002,1.0
KE011,Isiolo,2023-02,1,63187,0.2
KE011,Isiolo,2023-02,2,142172,0.45
KE011,Isiolo,2023-02,3,94781,0.3
KE011,Isiolo,2023-02,3+,110578,0.35
KE011,Isiolo,2023-02,4,15797,0.05
KE011,Isiolo,2023-02,5,0,0.0
KE011,Isiolo,2023-02,all,315937,1.0
KE011,Isiolo,2023-07,1,94800,0.3
KE011,Isiolo,2023-07,2,142200,0.45
KE011,Isiolo,2023-07,3,63200,0.2
KE011,Isiolo,2023-07,3+,79000,0.25
KE011,Isiolo,2023-07,4,15800,0.05
KE011,Isiolo,2023-07,5,0,0.0
KE011,Isiolo,2023-07,all,316000,1.0
KE011,Isiolo,2024-02,1,110600,0.35
KE011,Isiolo,2024-02,2,142200,0.45
KE011,Isiolo,2024-02,3,47400,0.15
KE011,Isiolo,2024-02,3+,63200,0.2
KE011,Isiolo,2024-02,4,15800,0.05
KE011,Isiolo,2024-02,5,0,0.0
