pcode,county,year_month,conflict_events,conflict_fatalities
KE043,Homa Bay,2019-01,1,1
KE043,Homa Bay,2019-04,1,0
KE043,Homa Bay,2019-10,1,1
KE043,Homa Bay,2020-03,2,2
KE043,Homa Bay,2021-07,1,1
KE043,Homa Bay,2022-02,1,0
KE043,Homa Bay,2022-04,1,0
KE043,Homa Bay,2022-05,1,0
KE043,Homa Bay,2022-06,1,1
KE043,Homa Bay,2023-04,1,1
KE043,Homa Bay,2023-05,1,1
KE043,Homa Bay,2023-09,1,0
KE043,Homa Bay,2023-11,1,0
KE043,Homa Bay,2024-04,1,1
KE043,Homa Bay,2024-06,1,1
KE043,Homa Bay,2024-09,1,2
KE043,Homa Bay,2024-10,1,0
KE043,Homa Bay,2025-01,2,3
KE043,Homa Bay,2025-04,2,1
KE043,Homa Bay,2025-06,1,0
KE043,Homa Bay,2025-09,1,0
KE043,Homa Bay,2025-10,1,0
KE043,Homa Bay,2026-02,1,1
KE011,Isiolo,2006-04,2,0
KE011,Isiolo,2008-09,1,5
KE011,Isiolo,2008-12,1,0
KE011,Isiolo,2009-03,2,4
KE011,Isiolo,2009-04,2,0
KE011,Isiolo,2009-05,6,5
KE011,Isiolo,2009-07,1,2
KE011,Isiolo,2009-10,3,17
KE011,Isiolo,2009-11,3,0
KE011,Isiolo,2009-12,1,0
KE011,Isiolo,2010-10,1,1
KE011,Isiolo,2011-06,1,10
KE011,Isiolo,2011-10,1,1
KE011,Isiolo,2012-06,1,0
KE011,Isiolo,2012-11,3,7
KE011,Isiolo,2013-02,1,0
KE011,Isiolo,2013-09,2,2
KE011,Isiolo,2014-08,1,8
KE011,Isiolo,2015-06,1,3
KE011,Isiolo,2016-01,1,3
KE011,Isiolo,2016-03,1,1
KE011,Isiolo,2016-08,1,1
KE011,Isiolo,2016-10,1,4
KE011,Isiolo,2017-02,2,1
KE011,Isiolo,2017-03,2,15
KE011,Isiolo,2017-04,1,1
KE011,Isiolo,2017-05,1,10
KE011,Isiolo,2017-08,1,3
KE011,Isiolo,2017-11,4,17
KE011,Isiolo,2018-02,2,2
KE011,Isiolo,2018-03,4,8
KE011,Isiolo,2018-05,2,2
KE011,Isiolo,2018-10,1,1
KE011,Isiolo,2019-04,2,4
KE011,Isiolo,2019-06,1,1
KE011,Isiolo,2019-08,2,6
KE011,Isiolo,2019-09,3,11
KE011,Isiolo,2019-11,1,2
KE011,Isiolo,2020-10,2,0
KE011,Isiolo,2020-11,2,8
KE011,Isiolo,2020-12,1,4
KE011,Isiolo,2021-01,3,8
KE011,Isiolo,2021-02,1,1
KE011,Isiolo,2021-04,1,1
KE011,Isiolo,2021-05,1,1
KE011,Isiolo,2021-06,3,9
KE011,Isiolo,2021-07,3,5
KE011,Isiolo,2021-09,2,8
KE011,Isiolo,2021-10,1,5
KE011,Isiolo,2021-11,1,0
KE011,Isiolo,2021-12,2,8
KE011,Isiolo,2022-01,2,2
KE011,Isiolo,2022-02,4,14
KE011,Isiolo,2022-03,5,3
KE011,Isiolo,2022-04,2,11
KE011,Isiolo,2022-05,5,2
KE011,Isiolo,2022-06,4,12
KE011,Isiolo,2022-08,1,2
KE011,Isiolo,2022-09,1,1
KE011,Isiolo,2022-10,1,2
KE011,Isiolo,2022-12,2,2
KE011,Isiolo,2023-01,3,6
KE011,Isiolo,2023-02,2,5
KE011,Isiolo,2023-03,2,2
KE011,Isiolo,2023-04,1,1
KE011,Isiolo,2023-05,2,3
KE011,Isiolo,2023-09,4,5
KE011,Isiolo,2023-10,1,1
KE011,Isiolo,2023-11,5,6
KE011,Isiolo,2023-12,2,1
KE011,Isiolo,2024-01,1,1
KE011,Isiolo,2024-02,1,3
KE011,Isiolo,2024-03,1,1
KE011,Isiolo,2024-06,1,0
KE011,Isiolo,2024-08,1,1
KE011,Isiolo,2024-09,2,3
KE011,Isiolo,2024-10,2,3
KE011,Isiolo,2024-12,1,0
KE011,Isiolo,2025-01,4,1
KE011,Isiolo,2025-02,5,2
KE011,Isiolo,2025-03,2,0
KE011,Isiolo,2025-05,1,3
KE011,Isiolo,2025-06,2,2
KE011,Isiolo,2025-07,1,1
KE011,Isiolo,2025-09,2,1
KE011,Isiolo,2025-10,3,2
KE011,Isiolo,2025-11,3,10
KE011,Isiolo,2025-12,6,6
KE011,Isiolo,2026-01,3,1
KE011,Isiolo,2026-02,5,4
KE011,Isiolo,2026-03,3,3
KE011,Isiolo,2026-04,1,0
KE011,Isiolo,2026-07,3,2
KE034,Kajiado,2008-02,1,14
KE034,Kajiado,2008-08,1,3
KE034,Kajiado,2009-02,1,0
KE034,Kajiado,2009-05,1,0
KE034,Kajiado,2009-10,1,0
KE034,Kajiado,2009-11,1,0
KE034,Kajiado,2009-12,3,5
KE034,Kajiado,2010-06,1,2
KE034,Kajiado,2011-03,1,0
KE034,Kajiado,2011-07,2,4
KE034,Kajiado,2013-02,1,1
KE034,Kajiado,2013-05,1,0
KE034,Kajiado,2014-06,1,2
KE034,Kajiado,2019-02,1,1
